dataset_title,n,failures,failure_rate
SNV Zambia_Zambia_2014,2101,339,0.1614
Water4_Global_2021-2022,1447,0,0.0
World Vision_Africa Boreholes_2011-2015,445,44,0.0989
Village Water_Zambia_2009-2018,444,50,0.1126
Living Water International_Global_2019-2020,443,2,0.0045
Village Water_Zambia Mozambique_2009-2021,429,0,0.0
Living Water International_Global_September2022,275,17,0.0618
UNHCR_Global_2022,217,11,0.0507
Living Water International_Africa Latin America_Oct2013-Sep2016,133,0,0.0
WPDx Reingestion_Global,101,13,0.1287
WaterAid_Global_2019-2020,87,0,0.0
WaterAid_Global_2020-2021,71,0,0.0
UNHCR 2022 BH database update,2,0,0.0
UNHCR_Global_2020,2,0,0.0
