age_years,local_population,distance_to_city,distance_to_town,distance_to_primary,distance_to_secondary,distance_to_tertiary,lat_deg,lon_deg,water_source_clean,water_tech_clean,water_source_category,water_tech_category,clean_adm1,is_urban,is_non_functional,clean_adm2,report_year,wpdx_id
,2015.0,,71162.69726216746,86646.86785896051,6591.132365815711,859.564961855972,-14.54031,24.19458,Protected Well,Hand Pump,Well,Hand Pump,Western,False,0,Kaoma,2019,5GQ6F55V+VRG
,1040.0,,69258.57573842314,87248.10741814629,5043.401989340736,89.92978600889687,-14.53721,24.21544,Protected Well,Hand Pump,Well,Hand Pump,Western,False,0,Kaoma,2019,5GQ6F678+458
2.0,89.0,60773.115905583785,16811.72523285317,47233.30196093732,12006.16492684058,2932.7810968436083,-15.300167,28.835333,Borehole/Tubewell,,Well,,Lusaka,False,0,Rufunsa,2018,5GPCMRXP+W4P
2.0,454.0,89590.62392056703,3861.493032525246,18255.051550287662,19984.067873653807,47.21013937095259,-15.998833,28.862767,Borehole/Tubewell,,Well,,Lusaka,False,0,Chirundu,2019,5GPC2V27+F46
,2849.0,,71068.06782394892,87359.2251227708,7495.605323389857,650.4523516873925,-14.54842,24.1919,Protected Well,Hand Pump,Well,Hand Pump,Western,False,0,Kaoma,2019,5GQ6F52R+JQJ
0.0,89.0,173718.1253829871,85337.97968743539,154382.80987613814,40522.92352591645,15217.801682182013,-14.964733,29.83027,Borehole/Tubewell,,Well,,Lusaka,False,0,Rufunsa,2018,5GQF2RPJ+442
,703.0,245721.96745735483,8905.10605150274,1958.0099385345047,7072.540429022357,7645.575986066808,-10.139246666666669,31.229118333333336,Protected Spring,,Spring,,Northern,False,0,Kasama,2014,5GXHV66H+8J5
0.0,,47667.10598489868,45385.98489301228,39194.71355492009,23342.188269666185,84.3329048008714,-15.455446666666669,27.839861666666668,Piped Water,Hand Pump - India Mark,Piped Water,Hand Pump,Lusaka,False,0,Shibuyunji,2014,5GP9GRVQ+RWH
10.0,,48684.234035298585,45780.72675214047,40190.57856831271,24277.194482917264,60.56147061479952,-15.450128333333335,27.829898333333336,Piped Water,Hand Pump - India Mark,Piped Water,Hand Pump,Lusaka,False,0,Shibuyunji,2014,5GP9GRXH+XXJ
2.0,,42653.26164921349,43415.1265343793,34182.67414344684,18370.44151600442,1301.3358940879054,-15.45107,27.88636166666667,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Shibuyunji,2014,5GP9GVXP+HGH
0.0,,48851.78716394431,45909.2409077284,40353.16942904134,24426.57951942755,5.668048870763691,-15.448691666666663,27.828223333333334,Piped Water,Motorized Pump - Electric,Piped Water,Motorized Pump,Lusaka,False,0,Shibuyunji,2014,5GP9HR2H+G7H
4.0,,83943.99446651092,55966.61519923851,74907.34945550193,29387.76645580177,7203.07727455313,-15.197471666666669,27.533810000000003,Piped Water,Motorized Pump - Electric,Piped Water,Motorized Pump,Central,False,0,Mumbwa,2014,5GP9RG3M+2G7
8.0,,41409.95226740585,3350.093607750367,30679.730633734063,18949.38470640388,1836.4854023157943,-15.773608333333334,28.166876666666667,Piped Water,Hand Pump - India Mark,Piped Water,Hand Pump,Lusaka,True,0,Kafue,2014,5GPC65G8+HQ2
1.0,,54402.31721961273,20733.948109946283,43003.326835775886,96.20794999757014,1584.4735105084346,-15.486241666666668,28.783923333333338,Piped Water,Motorized Pump - Electric,Piped Water,Motorized Pump,Lusaka,False,0,Chongwe,2014,5GPCGQ7M+GH3
,,11214.214119881375,16896.968166973555,3455.923473584231,850.9996074796716,731.8148276315052,-15.4463,28.382,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH93J+FRJ
,,11088.927119295571,16881.943903808482,3384.7694924219004,817.004006462321,599.458887747326,-15.4456,28.381,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH93J+QC6
,,11233.588940670104,17014.80411265828,3546.2880403344507,963.509328237401,711.5298471049044,-15.4453,28.3825,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH93M+V2J
,,10645.516915984294,16648.614770996664,3017.37165754144,525.1399492702285,200.4108956634483,-15.4449,28.3769,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94G+2QR
,,10470.156922408973,16667.492954609294,2963.814735926695,508.6185903401702,2.6567875205849854,-15.4436,28.3756,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94G+H69
,,10567.750785724744,16785.97133094126,3093.850509594141,633.6589286907423,63.70932162597626,-15.4431,28.3767,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94G+QM8
,,10950.352112715673,16869.08210731681,3312.2380504307484,781.0517020805804,451.9279903786433,-15.4448,28.3799,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94H+3XJ
,,10781.124794999325,16836.34630952003,3215.5854423053624,721.7545453093184,278.2629950970387,-15.444,28.3785,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94H+CC2
,,11046.035789788828,17029.09510765825,3471.0404462245456,943.759135262432,498.9483362812097,-15.4439,28.3811,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94J+CCX
,,11126.963931257304,17126.46348178808,3577.286859284165,1046.3642657138796,549.094878780995,-15.4435,28.382,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94J+JR2
,,11358.166004133263,17133.64359763275,3688.1135195238576,1091.4611101366022,802.9993405147202,-15.445,28.3838,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94M+2G3
,,11479.68867382741,17443.57428653261,3960.79434758584,1396.1645607564717,810.7844195277374,-15.4428,28.3856,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH94P+V6Q
,,10640.83616834355,16939.7856248835,3241.19746906952,787.3215349184072,86.61109392093084,-15.4421,28.3777,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95H+538
,,10827.157946176378,17065.492277773752,3409.679558132888,936.6688940441906,241.64956413376672,-15.4421,28.3795,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95H+5R6
,,10678.882185173616,17089.648674895536,3365.824027359976,931.4994616011298,67.79206477375598,-15.4409,28.3784,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95H+J9R
,,10686.472626594872,17105.028765968535,3380.213222105161,946.8568349329734,70.5247729436057,-15.4408,28.3785,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95H+MCJ
,,11093.08411372818,17297.820903935914,3690.479850701112,1197.100463392135,445.3352762754468,-15.4416,28.3822,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95J+9V8
,,10891.21098599747,17293.42912818923,3607.981486862583,1153.62850399719,221.35753052562364,-15.4403,28.3806,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95J+V6Q
,,11548.480629720996,17582.264853510333,4089.865730864946,1533.90924433341,825.4510897274603,-15.4419,28.3865,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95P+6JR
,,11657.699160668924,17678.66776381874,4206.462628508971,1638.597866915212,907.10402174385,-15.4417,28.3876,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH95Q+82H
,,10647.121116837405,17395.58780134176,3559.5401835166504,901.611585494028,103.2516244994364,-15.4377,28.3789,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH96H+WHC
,,11055.278332939955,17454.66125437446,3796.4744640306526,1259.7410530788266,326.78209051962625,-15.4398,28.3823,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH96J+3WM
,,10943.168756868658,17409.53261239021,3713.357028798953,1186.6771118287056,222.30483371913192,-15.4395,28.3813,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH96J+6G3
,,10848.515268710598,17517.90671222404,3739.4531373660006,992.7175807212076,63.96118073916281,-15.4378,28.3808,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH96J+V8M
,,11149.5123710016,17558.59161903126,3911.942369669137,1261.7093055126138,385.0150809942605,-15.4394,28.3833,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,False,0,Lusaka,2017,5GPCH96M+68V
,,13379.16081383286,22703.90785007496,2865.555698609468,813.8728244399988,504.5680509006686,-15.3966,28.4051,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC34+929
,,13595.012309729254,22899.05992683401,2827.558347999641,600.6242924291915,546.4383951622722,-15.3958,28.407,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC34+MRJ
,,13459.355683037127,22822.082045491046,2784.935277553556,737.6965330239273,587.6999382113506,-15.3957,28.4057,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC34+P7G
,,13532.341925491,22905.265830534496,2745.6705869770144,666.7957477776417,627.6310469126361,-15.3952,28.4063,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC34+WGF
,,13926.546825106469,23077.789629253588,2970.363252516376,265.278309667991,428.29921490854906,-15.3962,28.4102,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC36+G3G
,,13657.610218211605,23058.497047618584,2664.3864233775885,545.408838624525,712.3455553033863,-15.3942,28.4073,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC44+8WF
,,13726.480517980148,23041.57420956178,2773.201985173701,472.316591484405,607.398862259754,-15.395,28.4081,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC45+265
,,14163.903437214947,23333.128563149705,2909.0187202748266,32.914357213350385,531.9692740403208,-15.3948,28.4122,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC46+3VP
,,14007.132034060676,23240.885034588304,2834.8747059630823,191.24697247732823,578.1714528248878,-15.3947,28.4107,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC46+47G
,,14191.682787668116,23417.389839456275,2823.62222617763,9.696000802385296,628.3658777983052,-15.3939,28.4123,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC46+CWV
,,14066.863576025,23345.51021061647,2759.6683330153,136.0944750545441,666.0737120656321,-15.3938,28.4111,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC46+FCQ
,,13990.383475231922,23326.7920725424,2685.4455555652376,215.5113549056246,727.9245924907561,-15.3934,28.4103,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC46+J4V
,,13554.151836958828,23151.328596839867,2401.8381317932485,363.51245694931896,971.7555688711814,-15.3921,28.4059,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC54+596
,,13581.206877616056,23257.255875770494,2272.9068699810136,235.79080287530047,1101.3374733922246,-15.3909,28.4059,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC54+J9R
,,13882.441604300508,23325.61499696613,2545.471702798835,313.03318582234493,853.7389049240347,-15.3925,28.4091,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC55+2J5
,,13749.774178836293,23257.63379712327,2478.349783685684,328.55607355463064,906.082608425942,-15.3923,28.4078,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC55+34M
,,13966.836227166808,23415.45607808126,2521.762482831534,239.67937320651365,890.9082313467665,-15.392,28.4098,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC55+6W3
,,14105.062250944093,23612.35389642336,2414.926254335112,51.586483776780696,1029.1533498279916,-15.3905,28.4108,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Chongwe,2017,5GPCJC56+R83
,,13459.73324947919,23294.074354780118,2074.5096898804845,120.44605497135716,1039.3614630720276,-15.3894,28.4044,Piped Water,Public Tapstand,Piped Water,Public Tapstand,Lusaka,True,0,Lusaka,2017,5GPCJC63+6QR
