features,model,pr_auc,pr_auc_std,roc_auc,n_features
B. No coordinates,RF,0.2387559262925661,0.14713553279948385,0.6135301499948568,13
A. Everything,RF,0.22720937795431356,0.11455819169302227,0.6109294042339112,15
E. Age alone,GBoost,0.21962845150176707,0.1583587081503386,0.6499081471548804,1
E. Age alone,RF,0.21930450386670045,0.1564984177123961,0.6511206292196781,1
"C. No coordinates, no province",RF,0.2135537852354123,0.122868640130926,0.572121666281482,12
A. Everything,LogReg,0.20691800801361823,0.15138540343313958,0.5811053977927221,15
A. Everything,GBoost,0.19436647701582957,0.09466187062751909,0.5508868739498792,15
E. Age alone,LogReg,0.18746501107021674,0.10084640540296347,0.6143658043689226,1
B. No coordinates,GBoost,0.1851122822816579,0.09323377805111928,0.5649153681469337,13
"D. Asset only (age, tech, source)",RF,0.18151037631330622,0.06726261953415094,0.620781747009528,5
B. No coordinates,LogReg,0.1774751108972153,0.1064532437570783,0.5411676423137685,13
"D. Asset only (age, tech, source)",GBoost,0.16539999293296415,0.03855547352030148,0.6386601494472213,5
"C. No coordinates, no province",GBoost,0.16106317888302,0.06716350449644941,0.5308934853861169,12
"C. No coordinates, no province",LogReg,0.14305334876454792,0.054734605845412745,0.5323007641409119,12
"D. Asset only (age, tech, source)",LogReg,0.13373593369484915,0.05559801807303743,0.4836556159105404,5
