feature,importance,std
age_years,0.043107385445978336,0.021029314239161108
distance_to_primary,0.024044310385593303,0.006547362101107685
distance_to_town,0.0224137661738907,0.010920549226499324
water_tech_category,0.00890013460280467,0.011276255517004062
water_source_clean,0.0049124130930007885,0.0027902364703325413
water_tech_clean,0.0034920144780745425,0.008791298671188632
distance_to_city,0.0027957201699582257,0.01667969423390124
local_population,0.0011990454989154668,0.007739328372870551
water_source_category,-6.685179748316024e-06,0.0010940369630980207
is_urban,-0.0008439082352404713,0.008796287405822934
distance_to_tertiary,-0.015274481379439236,0.009194122636765351
distance_to_secondary,-0.01830245723374957,0.009476230155101815
clean_adm1,-0.026622255450470648,0.018159467134503702
